Std Sec#,Section,Occurring LLT,Occurrences,PT,Section Code,LLT Code,PT Code,SPL Set ID,SPL Eff Date,SPL Ver,Trade Name,Generic/Proper Names,Product Names,Product Generic Names,Product NDCs,FDALabel URL,DailyMed URL
6.0,ADVERSE REACTIONS SECTION,Upper respiratory tract infection,1,Upper respiratory tract infection,34084-4,10046306,10046306,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Vomiting,2,Vomiting,34084-4,10047700,10047700,c7d0b43c-7250-4809-8a05-fcde5862f076,20220726,14,"Adenovirus Type 4 and Type 7 Vaccine, Live","ADENOVIRUS TYPE 4 AND TYPE 7 VACCINE, LIVE","Adenovirus Type 4 and Type 7 Vaccine, Live","Adenovirus Type 4 and Type 7 Vaccine, Live",51285-138,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c7d0b43c-7250-4809-8a05-fcde5862f076/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c7d0b43c-7250-4809-8a05-fcde5862f076
6.0,ADVERSE REACTIONS SECTION,Alopecia,1,Alopecia,34084-4,10001760,10001760,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Anaphylactoid reaction,1,Anaphylactoid reaction,34084-4,10002216,10002216,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Anaphylaxis,1,Anaphylactic reaction,34084-4,10002218,10002198,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Angioedema,1,Angioedema,34084-4,10002424,10002424,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Arthralgia,1,Arthralgia,34084-4,10003239,10003239,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Arthropathy,1,Arthropathy,34084-4,10003285,10003285,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Bruising,1,Contusion,34084-4,10006504,10050584,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
6.0,ADVERSE REACTIONS SECTION,Cellulitis,1,Cellulitis,34084-4,10007882,10007882,d4f29180-7c76-40ac-9341-cf62702c4090,20260225,6,CYFENDUS,"ANTHRAX VACCINE ADSORBED, ADJUVANTED",CYFENDUS,"Anthrax Vaccine Adsorbed, Adjuvanted",71665-001,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/d4f29180-7c76-40ac-9341-cf62702c4090/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4f29180-7c76-40ac-9341-cf62702c4090
